ENV,Year,Location,PLOT,BLOCK,Plot_ID,GENO,ID,Moisture_per,Protein_unadjusted,SAA_unadjusted,Dietary_Fiber_unadjusted,Total_Starch_unadjusted,Resistance_Starch_unadjusted,Protein_15per_DB_Moisture,SAA_15per_DB_Moisture,Dietary_Fiber_15per_DB_Moisture,Total_Starch_15per_DB_Moisture,Resistance_Starch_15per_DB_Moisture,Protein_digestibility_per
CLEM22,2022,CLEM,1089,1,PSP.22CU.1089,269782,SRR5350090,7.739901973,20.16,NA,23.56,50.56,6.38,18.89,NA,22.07,47.37,5.98,84
CLEM22,2022,CLEM,1090,1,PSP.22CU.1090,175231,SRR5350179,7.595010974,20.69,NA,24.09,45.28,6.36,19.36,NA,22.54,42.36,5.95,85
CLEM22,2022,CLEM,2002,2,PSP.22CU.2002,272148,SRR5350075,5.904673762,20.73,NA,25.86,58.23,7.48,19.09,NA,23.81,53.62,6.89,85
CLEM22,2022,CLEM,2005,1,PSP.22CU.2005,628276,NA,6.175717183,20.88,NA,26.57,55.43,5.82,19.28,NA,24.53,51.17,5.38,85
CLEM22,2022,CLEM,2006,1,PSP.22CU.2006,619079,SRR5349935,5.711060577,20.17,NA,23.73,50.27,6.52,18.54,NA,21.81,46.21,5.99,84
CLEM22,2022,CLEM,2007,2,PSP.22CU.2007,166159,SRR5350184,5.040852872,19.26,NA,21.92,50.51,6.71,17.59,NA,20.02,46.13,6.13,84
CLEM22,2022,CLEM,2008,2,PSP.22CU.2008,269761,SRR5350094,5.220272061,18.88,NA,21.21,54,6.24,17.27,NA,19.41,49.41,5.71,84
CLEM22,2022,CLEM,2009,2,PSP.22CU.2009,165949,SRR5350186,7.032373992,19.69,NA,25.03,49.86,4.73,18.33,NA,23.3,46.41,4.41,85
CLEM22,2022,CLEM,2010,2,PSP.22CU.2010,195020,SRR5350158,4.615551828,19.77,NA,24.66,51.78,6,17.98,NA,22.43,47.11,5.46,84
CLEM22,2022,CLEM,2012,2,PSP.22CU.2012,324697,SRR5350023,4.384623991,20.04,NA,25.85,55.72,7.99,18.19,NA,23.46,50.58,7.25,85
CLEM22,2022,CLEM,2013,1,PSP.22CU.2013,594358,NA,3.754896694,18.38,NA,21.81,54.68,6.66,16.58,NA,19.68,49.33,6.01,85
